Date (UTC),Open,High,Low,Close,Adj Close,Volume,Dividends
2000-05-10,13.046875,13.1875,12.875,12.96875,10.577720642089844,2758800,
2000-05-11,13.0,13.796875,12.96875,13.78125,11.2404203414917,1292400,
2000-05-12,13.75,13.78125,13.546875,13.59375,11.087489128112793,908000,
2000-05-15,13.65625,13.78125,13.0625,13.765625,11.227675437927246,823600,
2000-05-16,13.765625,14.1875,13.50390625,13.890625,11.329631805419922,864400,
2000-05-17,13.6875,14.0,13.5625,13.734375,11.202187538146973,572800,
2000-05-18,13.765625,14.0,13.125,13.125,10.705161094665527,550400,
2000-05-19,13.125,13.125,12.125,12.390625,10.106184959411621,1646800,
2000-05-22,12.46875,13.234375,12.0625,13.125,10.705161094665527,1983600,
2000-05-23,13.0625,13.578125,13.0625,13.078125,10.666929244995117,2783200,
2000-05-24,13.0625,13.875,12.75,13.765625,11.227675437927246,1860400,
2000-05-25,13.765625,13.9375,12.9375,12.9375,10.552229881286621,1306400,
2000-05-26,13.0,13.484375,12.625,13.28125,10.832606315612793,768000,
2000-05-30,13.3125,13.765625,13.265625,13.5,11.01102352142334,1068800,
2000-05-31,13.34375,13.75,13.25,13.515625,11.023767471313477,2079200,
2000-06-01,13.71875,14.46875,13.5625,14.3125,11.673724174499512,1587600,
2000-06-02,14.375,15.125,14.375,14.484375,11.813909530639648,1573200,
2000-06-05,14.28125,14.96875,14.25,14.625,11.928609848022461,770800,
2000-06-06,14.78125,15.734375,14.75,14.96875,12.208983421325684,1586400,
2000-06-07,14.9375,14.9375,14.25,14.75,12.030564308166504,952800,
2000-06-08,14.734375,15.0,14.15625,14.65625,11.95409870147705,937200,
2000-06-09,14.6875,15.375,14.59375,15.09375,12.31093978881836,1109600,
2000-06-12,15.21875,15.25,14.65625,14.75,12.030564308166504,1618400,
2000-06-13,14.625,14.9375,14.453125,14.921875,12.170747756958008,612400,
2000-06-14,14.75,15.125,14.671875,14.6875,11.979584693908691,488800,
2000-06-15,14.609375,16.0,14.515625,15.390625,12.553077697753906,1348800,
2000-06-16,15.4375,15.6875,15.21875,15.5,12.642287254333496,1194400,
2000-06-19,15.484375,15.59375,14.875,15.125,12.336426734924316,1029600,
2000-06-20,15.234375,15.3125,14.59375,14.734375,12.017820358276367,1091600,
2000-06-21,14.71875,15.0,14.5625,14.9375,12.183494567871094,1351600,
2000-06-22,15.171875,15.46875,14.53125,14.53125,11.852145195007324,1318400,
2000-06-23,14.5078125,14.84375,14.5,14.609375,11.915864944458008,1318000,
2000-06-26,14.6875,14.96875,14.421875,14.4375,11.775677680969238,937200,
2000-06-27,14.390625,14.59375,12.515625,12.6875,10.348323822021484,1377600,
2000-06-28,12.9140625,13.421875,12.890625,13.375,10.909069061279297,2675600,
2000-06-29,13.2109375,13.34375,11.6875,12.625,10.297345161437988,2581600,
2000-06-30,12.40625,13.375,12.34375,12.9375,10.552229881286621,4038000,
2000-07-03,12.7578125,13.15625,12.734375,13.15625,10.730652809143066,387200,
2000-07-05,13.125,13.125,11.625,11.90625,9.711111068725586,1155600,
2000-07-06,11.828125,12.71875,11.3125,12.640625,10.310090065002441,2989200,
2000-07-07,12.46875,13.15625,12.4375,12.4375,10.144414901733398,950800,
2000-07-10,12.5,12.578125,11.59375,11.75,9.583673477172852,3158400,
2000-07-11,11.6328125,11.84375,11.28125,11.8125,9.63464641571045,3259600,
2000-07-12,11.90625,12.25,11.65625,11.75,9.583673477172852,748000,
2000-07-13,11.8515625,12.1875,11.59375,12.015625,9.800322532653809,1698000,
2000-07-14,12.265625,13.625,12.25,12.65625,10.322833061218262,2625200,
2000-07-17,13.5,13.5625,12.5,13.359375,10.896328926086426,3244000,
2000-07-18,13.421875,14.046875,13.03125,13.69140625,11.167141914367676,2112000,
2000-07-19,13.8125,13.984375,12.41015625,12.41015625,10.122113227844238,1202000,
2000-07-20,12.71875,12.71875,12.3125,12.5,10.195391654968262,1212800,
2000-07-21,12.5,12.5,11.484375,11.71875,9.558184623718262,1362800,
2000-07-24,11.71875,12.625,11.71875,12.5,10.195391654968262,1980800,
2000-07-25,12.609375,12.90625,12.25,12.75,10.39930248260498,1246400,
2000-07-26,12.78125,12.8125,12.40625,12.6875,10.348323822021484,1633200,
2000-07-27,12.640625,12.6875,11.5625,11.75,9.583673477172852,1057600,
2000-07-28,11.765625,12.140625,11.359375,11.359375,9.265063285827637,1334000,
2000-07-31,11.34375,12.28125,11.34375,12.265625,10.004227638244629,1353200,
2000-08-01,12.390625,12.390625,12.0,12.28125,10.016977310180664,898400,
2000-08-02,12.3125,12.3125,11.75,11.96875,9.762092590332031,1040000,
2000-08-03,11.3515625,11.3515625,10.53125,10.859375,8.857247352600098,3040000,
2000-08-04,11.0390625,11.5,10.9375,11.015625,8.98469066619873,1988800,
2000-08-07,11.0625,11.34375,11.0,11.03125,8.997435569763184,2137200,
2000-08-08,11.09375,11.21875,10.609375,10.625,8.666084289550781,1271600,
2000-08-09,10.8125,11.125,10.71875,10.828125,8.831758499145508,2260400,
2000-08-10,10.921875,11.1875,10.53125,10.578125,8.627853393554688,566400,
2000-08-11,10.5234375,10.671875,10.0,10.265625,8.372965812683105,913200,
2000-08-14,10.2890625,10.390625,10.09375,10.22265625,8.337923049926758,1043200,
2000-08-15,10.203125,11.21875,10.1875,10.9375,8.920969009399414,1124400,
2000-08-16,11.140625,11.265625,10.703125,10.703125,8.729804992675781,785600,
2000-08-17,10.625,11.0,10.484375,10.78125,8.793526649475098,435600,
2000-08-18,10.765625,11.9375,10.765625,11.640625,9.494458198547363,727200,
2000-08-21,11.65625,11.75,11.390625,11.625,9.48171329498291,608800,
2000-08-22,11.6171875,11.96875,11.3125,11.34375,9.2523193359375,534000,
2000-08-23,11.328125,11.34375,10.90625,11.0,8.971949577331543,481200,
2000-08-24,10.9609375,11.0,10.578125,10.84375,8.844503402709961,619200,
2000-08-25,10.96875,11.0,10.6875,10.87890625,8.873178482055664,508000,
2000-08-28,10.828125,11.1875,10.828125,11.125,9.07390022277832,616000,
2000-08-29,11.1875,11.25,10.8125,10.96875,8.946457862854004,599600,
2000-08-30,11.0078125,11.0078125,10.0625,10.15234375,8.280569076538086,1586000,
2000-08-31,10.09375,10.3125,9.53125,10.0,8.156316757202148,2665600,
2000-09-01,10.234375,10.4375,10.03125,10.21875,8.334733009338379,2222400,
2000-09-05,10.1484375,10.15625,9.875,9.96875,8.13082504272461,1298800,
2000-09-06,10.0859375,10.09375,9.71875,9.75,7.952406883239746,2128400,
2000-09-07,9.7265625,9.921875,9.6875,9.875,8.054361343383789,1496000,
2000-09-08,9.921875,10.125,9.734375,9.765625,7.965149402618408,1544800,
2000-09-11,9.75,10.0,9.75,9.875,8.054361343383789,981200,
2000-09-12,9.8125,9.828125,9.515625,9.609375,7.837713718414307,664000,
2000-09-13,9.734375,9.734375,9.15625,9.46875,7.7230119705200195,881600,
2000-09-14,9.484375,9.75,8.25,9.71875,7.926917552947998,6919200,
2000-09-15,9.9375,9.9375,9.4375,9.65625,7.875938415527344,1200800,
2000-09-18,9.75,9.78125,9.125,9.15625,7.468122482299805,898400,
2000-09-19,9.4375,9.4375,9.171875,9.28125,7.570080280303955,805600,
2000-09-20,9.3828125,9.40625,8.9375,9.3125,7.5955657958984375,642400,
2000-09-21,9.21875,9.75,9.1875,9.4375,7.697523593902588,721600,
2000-09-22,8.859375,9.71875,8.75,9.71875,7.926917552947998,969600,
2000-09-25,9.765625,9.78125,8.40625,8.8125,7.187751770019531,2635200,
2000-09-26,8.828125,8.90625,8.5625,8.578125,6.996587753295898,778000,
2000-09-27,8.71875,9.109375,8.5,8.84375,7.213240623474121,1007200,
2000-09-28,8.96875,9.75,8.796875,9.5625,7.799474239349365,2068800,
2000-09-29,9.546875,9.890625,9.125,9.859375,8.041617393493652,1826000,
2000-10-02,10.0,10.0,8.9375,9.0,7.340681552886963,758400,
2000-10-03,9.25,9.28125,8.65625,8.8125,7.187751770019531,811600,
2000-10-04,8.75390625,9.3125,8.6875,9.125,7.442636966705322,313600,
2000-10-05,9.234375,9.375,8.6875,8.78125,7.162261962890625,1037600,
2000-10-06,8.6875,8.84375,8.375,8.484375,6.920123100280762,1112400,
2000-10-09,8.5,8.5,7.71875,8.0,6.525051116943359,1498400,
2000-10-10,8.046875,8.09375,7.34375,7.53125,6.142726421356201,1266400,
2000-10-11,7.328125,7.390625,6.75,6.9375,5.658442974090576,1643600,
2000-10-12,7.0546875,7.125,6.796875,6.984375,5.696674823760986,1743600,
2000-10-13,7.0390625,8.25,6.984375,8.0,6.525051116943359,680000,
2000-10-16,8.109375,8.109375,6.78125,7.1875,5.8623504638671875,1740000,
2000-10-17,8.015625,8.171875,6.40625,6.453125,5.26337194442749,2018000,
2000-10-18,6.453125,7.1875,6.3359375,7.109375,5.7986297607421875,1548800,
2000-10-19,7.65625,7.90625,7.375,7.65625,6.244677543640137,752800,
2000-10-20,7.6328125,7.828125,7.359375,7.640625,6.23193359375,543600,
2000-10-23,7.5390625,7.875,7.125,7.203125,5.875093936920166,1211200,
2000-10-24,7.40625,7.625,7.0,7.203125,5.875093936920166,1060000,
2000-10-25,6.71875,6.96875,6.5625,6.9375,5.658442974090576,1033600,
2000-10-26,6.984375,7.453125,6.625,7.36328125,6.005723476409912,784400,
2000-10-27,7.640625,7.6875,6.875,7.015625,5.722166061401367,718800,
2000-10-30,7.109375,7.234375,6.796875,7.0,5.709418773651123,682400,
2000-10-31,7.125,8.375,7.03125,8.375,6.8309125900268555,1480800,
2000-11-01,7.65625,8.40625,7.34375,7.484375,6.104491710662842,930400,
2000-11-02,7.8125,8.171875,7.40625,7.78125,6.346632480621338,1178400,
2000-11-03,7.8125,8.05859375,7.625,7.703125,6.282910346984863,458800,
2000-11-06,7.8125,8.125,7.69140625,8.109375,6.614261150360107,802000,
2000-11-07,8.09375,8.28125,8.015625,8.109375,6.614261150360107,730400,
2000-11-08,8.171875,8.3125,8.0625,8.21875,6.703468322753906,1190400,
2000-11-09,8.0390625,8.0625,7.609375,7.625,6.219189167022705,1355200,
2000-11-10,7.5625,7.65625,6.96875,6.96875,5.683931350708008,1007200,
2000-11-13,7.0,7.34375,6.59375,6.96875,5.683931350708008,1804000,
2000-11-14,7.21875,7.78125,7.17578125,7.640625,6.23193359375,1024000,
2000-11-15,7.703125,7.703125,7.09375,7.25,5.913328170776367,1040400,
2000-11-16,7.34375,7.34375,6.8125,6.921875,5.645697593688965,995600,
2000-11-17,7.046875,7.0625,6.71875,6.90625,5.632952690124512,713200,
2000-11-20,6.890625,6.890625,6.453125,6.734375,5.492767333984375,838400,
2000-11-21,6.7734375,6.953125,6.25,6.875,5.6074652671813965,1260400,
2000-11-22,6.75,6.84375,6.15625,6.546875,5.339837551116943,1200800,
2000-11-24,6.66796875,6.703125,6.26953125,6.53125,5.327093601226807,400400,
2000-11-27,6.8125,6.890625,6.40625,6.546875,5.339837551116943,710000,
2000-11-28,4.234375,5.0,4.1875,4.78125,3.8997371196746826,10780400,
2000-11-29,4.734375,4.78125,4.5,4.59375,3.7468063831329346,3328800,
2000-11-30,4.4375,4.515625,4.34375,4.390625,3.5811309814453125,2075200,
2000-12-01,4.48046875,4.8125,4.359375,4.46875,3.644852876663208,2357200,
2000-12-04,4.4765625,4.6875,4.34375,4.46875,3.644852876663208,1561200,
2000-12-05,4.51953125,4.9375,4.515625,4.875,3.976203441619873,2118000,
2000-12-06,4.8203125,4.828125,4.5,4.609375,3.759551525115967,1599600,
2000-12-07,4.546875,4.609375,4.46875,4.59375,3.7468063831329346,1888800,
2000-12-08,4.53125,4.875,4.53125,4.703125,3.8360157012939453,3065600,
2000-12-11,4.66015625,5.09375,4.546875,5.0625,4.129134178161621,2144000,
2000-12-12,5.0703125,5.109375,4.65625,4.65625,3.7977828979492188,1598800,
2000-12-13,4.78125,4.9375,4.71875,4.921875,4.014435291290283,3437600,
2000-12-14,4.9375,4.96875,4.84375,4.921875,4.014435291290283,1856400,
2000-12-15,4.921875,4.984375,4.71875,4.796875,3.912480592727661,2662800,
2000-12-18,4.078125,4.671875,4.03125,4.546875,3.708573818206787,5390400,
2000-12-19,4.40625,4.859375,4.40625,4.5625,3.721318483352661,2075600,
2000-12-20,4.4609375,4.625,4.4375,4.578125,3.7340612411499023,2684800,
2000-12-21,4.5078125,5.0625,4.359375,4.6875,3.8232719898223877,3438800,
2000-12-22,4.734375,5.59375,4.71875,5.296875,4.320296764373779,3606800,
2000-12-26,5.21875,5.421875,4.8984375,4.921875,4.014435291290283,895600,
2000-12-27,5.1640625,5.171875,4.78125,4.796875,3.912480592727661,2252800,
2000-12-28,4.734375,5.59375,4.734375,5.421875,4.4222517013549805,1982400,
2000-12-29,5.375,5.65625,4.9453125,5.53125,4.511460781097412,2312400,
2001-01-02,5.515625,5.609375,4.75,4.78125,3.8997371196746826,2780400,
2001-01-03,4.76953125,5.59375,4.703125,5.515625,4.498717784881592,1682800,
2001-01-04,5.484375,5.8125,5.375,5.6875,4.638902187347412,1790000,
2001-01-05,5.703125,5.703125,5.109375,5.21875,4.256577014923096,948000,
2001-01-08,5.296875,5.3046875,4.96875,5.25,4.2820658683776855,1179600,
2001-01-09,5.28125,5.390625,5.0625,5.078125,4.141877174377441,617200,
2001-01-10,5.015625,5.578125,4.953125,5.53125,4.511460781097412,1838800,
2001-01-11,5.5078125,5.53125,5.21875,5.4375,4.434996128082275,1340000,
2001-01-12,5.5,5.84375,5.46875,5.8125,4.740856647491455,1264000,
2001-01-16,5.828125,6.3125,5.5,6.21875,5.072207450866699,1540000,
2001-01-17,6.3125,6.5,6.234375,6.359375,5.186905860900879,1161600,
2001-01-18,6.30859375,6.4375,5.796875,6.328125,5.161416530609131,1890000,
2001-01-19,6.375,6.546875,6.25,6.36328125,5.190090656280518,742000,
2001-01-22,6.25390625,6.28125,5.96875,6.125,4.99574089050293,627600,
2001-01-23,6.41015625,6.9375,6.25,6.859375,5.594720363616943,1872400,
2001-01-24,6.859375,6.875,6.625,6.8125,5.55648946762085,1768800,
2001-01-25,6.734375,6.734375,6.4375,6.59375,5.3780694007873535,1774800,
2001-01-26,6.53125,6.578125,6.21875,6.328125,5.161416530609131,1448800,
2001-01-29,6.4765625,6.875,6.4375,6.6875,5.454534530639648,762400,
2001-01-30,6.71875,6.84375,6.21875,6.40625,5.2251386642456055,1105600,
2001-01-31,6.34375,7.046875,6.34375,6.57421875,5.362138271331787,1022400,
2001-02-01,6.54296875,6.54296875,6.15625,6.265625,5.110438823699951,907600,
2001-02-02,6.265625,6.375,5.81640625,6.1875,5.046719074249268,804400,
2001-02-05,6.1875,6.234375,5.859375,6.0,4.893786907196045,366800,
2001-02-06,6.15625,6.578125,5.984375,5.984375,4.881046295166016,420000,
2001-02-07,5.953125,6.078125,5.78125,6.015625,4.9065327644348145,1217200,
2001-02-08,6.07421875,6.15625,5.90625,5.921875,4.830068588256836,566000,
2001-02-09,5.9375,6.0,5.5625,5.78125,4.715368270874023,895200,
2001-02-12,5.7890625,6.28125,5.671875,6.171875,5.033974647521973,885200,
2001-02-13,6.1875,6.53125,6.0625,6.0625,4.944765090942383,566800,
2001-02-14,6.03125,6.875,5.96875,6.484375,5.288860321044922,1159600,
2001-02-15,6.59375,7.03125,6.53125,6.875,5.6074652671813965,950800,
2001-02-16,6.6875,6.6875,6.359375,6.640625,5.4163031578063965,972800,
2001-02-20,6.640625,6.65625,6.375,6.421875,5.237884521484375,1127600,
2001-02-21,6.421875,6.421875,5.78125,5.828125,4.753600120544434,1491600,
2001-02-22,5.875,5.9375,5.625,5.734375,4.677135944366455,1271600,
2001-02-23,5.58203125,5.75,5.46875,5.65625,4.6134138107299805,1837200,
2001-02-26,5.75,5.890625,5.59375,5.796875,4.728114128112793,638400,
2001-02-27,5.734375,5.75,5.3125,5.328125,4.345786094665527,1118000,
2001-02-28,5.4375,5.484375,5.0,5.140625,4.192854404449463,838800,
2001-03-01,5.125,5.25,4.96875,5.140625,4.192854404449463,1970400,
2001-03-02,5.078125,5.5,5.0,5.28125,4.307555675506592,1060400,
2001-03-05,5.609375,5.625,5.375,5.515625,4.498717784881592,912000,
2001-03-06,5.59375,6.0,5.5625,5.671875,4.62615966796875,1228000,
2001-03-07,5.765625,6.0,5.6875,5.8125,4.740856647491455,644400,
2001-03-08,5.8359375,5.875,5.53125,5.703125,4.651648044586182,970000,
2001-03-09,5.671875,5.8125,5.375,5.75,4.689877986907959,1074400,
2001-03-12,5.75,5.765625,5.578125,5.75,4.689877986907959,1321200,
2001-03-13,5.6484375,5.81640625,5.546875,5.59375,4.562438488006592,1122000,
2001-03-14,5.5078125,5.828125,5.40625,5.5625,4.53695011138916,632400,
2001-03-15,5.5,5.75,5.2265625,5.25,4.2820658683776855,652800,
2001-03-16,5.21875,5.25,4.9375,5.03125,4.103644847869873,767600,
2001-03-19,5.03125,5.546875,5.0,5.46875,4.460484504699707,922800,
2001-03-20,5.390625,5.609375,5.3125,5.390625,4.396763324737549,601600,
2001-03-21,4.83984375,5.359375,4.8125,5.234375,4.269320487976074,2141600,
2001-03-22,5.0703125,6.0,5.0625,5.84375,4.766347885131836,1548000,
2001-03-23,5.953125,6.546875,5.84375,6.34375,5.174161911010742,1493200,
2001-03-26,6.34375,6.671875,6.28125,6.5,5.301602840423584,1770800,
2001-03-27,6.453125,7.03125,6.375,6.390625,5.212395191192627,1554800,
2001-03-28,6.16015625,6.59375,6.0625,6.1875,5.046719074249268,1002000,
2001-03-29,6.25,6.59375,5.8125,5.84375,4.766347885131836,548800,
2001-03-30,5.8515625,6.27734375,5.71875,6.1875,5.046719074249268,1357200,
2001-04-02,6.2578125,6.2578125,5.421875,5.703125,4.651648044586182,852400,
2001-04-03,5.703125,6.21875,5.359375,5.359375,4.371273517608643,930400,
2001-04-04,5.34375,5.65625,5.328125,5.4375,4.434996128082275,1421200,
2001-04-05,5.5,6.28125,5.484375,6.046875,4.932021141052246,1526400,
2001-04-06,6.125,6.1875,5.875,6.125,4.99574089050293,1176800,
2001-04-09,6.1875,6.349999904632568,6.137499809265137,6.142499923706055,5.010017395019531,1252800,
2001-04-10,6.215000152587891,6.71750020980835,6.192500114440918,6.5625,5.352580547332764,682800,
2001-04-11,6.670000076293945,7.070000171661377,6.652500152587891,6.885000228881836,5.615624904632568,1582800,
2001-04-12,6.840000152587891,7.012499809265137,6.727499961853027,6.929999828338623,5.652324676513672,1384000,
2001-04-16,6.932499885559082,7.012499809265137,6.722499847412109,6.909999847412109,5.636012077331543,940000,
2001-04-17,6.625,6.75,6.127500057220459,6.284999847412109,5.1262431144714355,2986800,
2001-04-18,6.5,7.5625,6.472499847412109,7.4375,6.066259860992432,4244800,
2001-04-19,7.622499942779541,8.0625,7.449999809265137,7.920000076293945,6.459800720214844,2564400,
2001-04-20,7.862500190734863,8.107500076293945,7.702499866485596,7.762499809265137,6.331338882446289,2668400,
2001-04-23,7.625,7.697500228881836,7.012499809265137,7.162499904632568,5.8419599533081055,1382000,
2001-04-24,7.102499961853027,7.25,7.099999904632568,7.175000190734863,5.8521575927734375,1318400,
2001-04-25,7.195000171661377,7.355000019073486,7.09499979019165,7.300000190734863,5.954110145568848,1697600,
2001-04-26,7.349999904632568,7.565000057220459,7.302499771118164,7.465000152587891,6.088687896728516,1454800,
2001-04-27,7.505000114440918,7.599999904632568,7.327499866485596,7.382500171661377,6.021399974822998,819600,
2001-04-30,7.527500152587891,7.537499904632568,7.377500057220459,7.377500057220459,6.017321586608887,1009200,
2001-05-01,7.347499847412109,7.452499866485596,7.037499904632568,7.329999923706055,5.978579044342041,1324400,
2001-05-02,7.434999942779541,7.625,7.394999980926514,7.474999904632568,6.096845626831055,509200,
2001-05-03,7.349999904632568,7.375,6.902500152587891,7.239999771118164,5.9051713943481445,932400,
2001-05-04,7.139999866485596,7.684999942779541,6.875,7.5,6.117237091064453,758400,
2001-05-07,7.525000095367432,7.565000057220459,7.300000190734863,7.477499961853027,6.098884582519531,557200,
2001-05-08,7.510000228881836,7.612500190734863,7.412499904632568,7.465000152587891,6.088687896728516,632800,
2001-05-09,7.382500171661377,7.505000114440918,7.172500133514404,7.5,6.117237091064453,954000,
2001-05-10,7.5,7.762499809265137,7.497499942779541,7.619999885559082,6.21511173248291,1254800,
2001-05-11,7.622499942779541,7.659999847412109,7.525000095367432,7.5625,6.168213367462158,816800,
2001-05-14,7.505000114440918,7.517499923706055,7.352499961853027,7.517499923706055,6.131509304046631,708000,
